DICBSP,Dictyota spp,Y Branched Algae,ALGAE
HALGSP,Halimeda spp,Halimeda,ALGAE
LOBSPP,Lobophora spp,Encrusting Fan-Leaf Alga,ALGAE
MACCAL,MacroOtherCalcareous,MacroOtherCalcareous,ALGAE
MACOSP,MacroOtherFleshy,MacroOtherFleshy,ALGAE
PEYSPP,Peysonnellia,Peysonnellia,ALGAE
RHOCRU,Rhodophyta cru. spp,Crustose Coralline Algae,ALGAE
TURFRE,Turf Algae Free of Sediment,Turf Algae Free of Sediment,ALGAE
TURSED,Turf Algae with Sediment,Turf Algae with Sediment,ALGAE
CYASPP,Cyanophyta spp,Blue-Green Algae,CYANOBACTERIA
ACRCER,Acropora cervicornis,Staghorn Coral,HARD CORALS
ACRPAL,Acropora palmata,Elkhorn Coral,HARD CORALS
ACRPRO,Acropora prolifera,Fused Staghorn,HARD CORALS
AGAAGA,Agaricia agaricites,Lettuce Coral,HARD CORALS
AGAFRA,Agaricia fragilis,Fragile saucer coral,HARD CORALS
AGAGRA,Agaricia grahamae,Graham's Sheet Coral,HARD CORALS
AGAHUM,Agaricia humilis,Agaricia humilis,HARD CORALS
AGALAM,Agaricia lamarcki,Lamarck's Sheet Coral,HARD CORALS
AGASPP,Agaricia spp,Agaricia spp,HARD CORALS
CANSPP,Caryophyllia n. spp,Button Cup Coral,HARD CORALS
CLAARB,Cladocora abruscula,Tube Coral,HARD CORALS
COLNAT,Colpophyllia natans,Boulder Brain Coral,HARD CORALS
COLSPP,Colpophyllia spp,Brain Coral,HARD CORALS
DEADCORAL,Dead Coral,Dead Coral,HARD CORALS
DENCYL,Dendrogyra cylindrus,Pillar Coral,HARD CORALS
DICSTO,Dichocoenia stokesii,Elliptical Star Coral,HARD CORALS
DIPCLI,Diploria clivosa,Knobby Brain Coral,HARD CORALS
DIPLAB,Diploria labyrinthiformis,Grooved Brain Coral,HARD CORALS
DIPSPP,Diploria spp,Diploria  spp,HARD CORALS
DIPSTR,Psuedodiploria strigosa,Symmetrical Brain Coral,HARD CORALS
EUSFAS,Eusmilia fastigiata,Smooth Flower Coral,HARD CORALS
FAVFRA,Favia fragum,Golfball Coral,HARD CORALS
HELCUC,Helioceris cucullata,Sunray Lettuce Coral,HARD CORALS
ISORIG,Isophyllastrea rigida,Rough Star Coral,HARD CORALS
ISOSIN,Isophyllia sinuosa,Sinuous Cactus Coral,HARD CORALS
MADDEC,Madracis decactis,Ten-Ray Star Coral,HARD CORALS
MADMIR,Madracis auretenra,Yellow Pencil Coral,HARD CORALS
MADPHA,Madracis pharensis,Star Coral,HARD CORALS
MADSPP,Madracis spp,Madracis spp,HARD CORALS
MANARE,Manicina areolata,Rose Coral,HARD CORALS
MEAMEA,Meandrina meandrites,Maze Coral,HARD CORALS
MEASPP,Meandrina spp,Meandrina spp,HARD CORALS
MONANN,Orbicellal annularis,Boulder Star Coral,HARD CORALS
MONANX,Orbicella annularis Complex,Boulder Star Coral Complex,HARD CORALS
MONCAV,Montastraea cavernosa,Great Star Coral,HARD CORALS
MONFAV,Orbicella faveolata,Mountainous Star Coral,HARD CORALS
MONFRA,Orbicella franksi,Boulder Star Coral,HARD CORALS
MONSPP,Montastraea,Star Coral,HARD CORALS
MUSANG,Mussa angulosa,Spiny Flower Coral,HARD CORALS
MYCALI,Mycetophyllia aliciae,Knobby Cactus Coral,HARD CORALS
MYCDAN,Mycetophyllia danaana,Lowridge Cactus Coral,HARD CORALS
MYCFER,Mycetophyllia ferox,Rough Cactus Coral,HARD CORALS
MYCLAM,Mycetophyllia lamarckiana,Ridged Cactus Coral,HARD CORALS
MYCREE,Mycetophyllia reesi,Ridgeless Cactus Coral,HARD CORALS
MYCSPP,Mycetophyllia spp,Mycetophyllia spp,HARD CORALS
OCUDIF,Oculina diffusa,Diffuse Ivory Bush Coral,HARD CORALS
PORAST,Porites astreoides,Mustard Hill Coral,HARD CORALS
PORBRA,Porites branneri,Blue Crust Coral,HARD CORALS
PORCOL,Porites colonensis,Honeycomb Plate Coral,HARD CORALS
PORDIV,Porites divaricata ,Porites divaricata,HARD CORALS
PORFUR,Porites furcata,Porites furcata,HARD CORALS
PORPOR,Porites porites,Finger Coral,HARD CORALS
PORSPP,Porites spp,Porites spp,HARD CORALS
SCLSPP,Scleractinia spp,Unknown Coral,HARD CORALS
SCOCUB,Scolymia cubensis,Artichoke Coral,HARD CORALS
SCOSPP,Scolymia spp,Scolymia spp,HARD CORALS
SIDRAD,Siderastrea radians,Lesser Starlet Coral,HARD CORALS
SIDSID,Siderastrea siderea,Massive Starlet Coral,HARD CORALS
SIDSPP,Siderastrea spp,Starlett Coral,HARD CORALS
SOLBOU,Solenastrea bournoni,Smooth Star Coral,HARD CORALS
SOLSPP,Solenastrea spp,Solenastrea spp,HARD CORALS
STEINT,Stephanocoenia intercepta,Blushing Star Coral,HARD CORALS
TUBCOC,Tubastraea coccinea,Orange Cup Coral,HARD CORALS
MILSPP,Millepora spp,Fire Coral (spp),HYDROCORALS
OTHSPP,Other spp,Other species,OTHER
PALSPP,Palythoa spp,Zoanthids,OTHER INVERTEBRATES
MAGSPP,Magnoliophyta spp,Seagrass,SEAGRASSES
ERYCAR,Erythropodium caribaeorum,Encrusting Gorgonian,SOFT CORALS
GORPRW,Gorgonacea plumes/rods/whips,"Sea Plumes, Sea Rods and Sea Whips",SOFT CORALS
CLISPP,Cliona spp,Cliona sp,SPONGE
PORISP,Porifera spp,SPONGE,SPONGES
BARESU,Bare Substrate,Bare Substrate,Substrate
